plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,20,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,21,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,22,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,23,WT,0,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,1,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,2,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,3,WT,7.5,4,10/02/2021 10:35:00,0.835,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,4,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,5,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,6,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,7,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,8,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,9,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,10,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,11,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,12,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,13,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,14,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,15,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,16,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,17,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,18,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,19,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,20,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_7.5_j,2,J,21,WT,7.5,4,10/02/2021 10:35:00,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,1,KO,0,4,10/02/2021 10:35:00,1.914,,,,,,,,,,,,,,,,,,,,,,,,,
